pack_v_max,pack_v_ptp,pack_v_kurtosis,pack_v_skew,pack_v_meandiff,pack_p_ptp,pack_p_kurtosis,pack_p_skew,pack_p_meandiff,dqdv_peak_05,dqdv_05_ptp,dqdv_peak_10,dqdv_10_ptp,window_range,window_range_idx,window_median,order_id,rated_energy,rated_voltage,rated_capacity,y_t
121.7137,0.12400000000000944,,,0.00020735785953176458,12.181799999998475,-0.18809374080096486,0.061114145126800745,0.019110033444818222,6.644753472222222,0.0,6.644753472222222,0.0,time_220_230,0.0,0,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.8377,0.12399999999999523,,,0.00041471571906352917,12.939099999999598,-0.8686625253185465,0.36201958047314525,0.02560167224080723,6.6447551944444445,0.0,6.6447551944444445,0.0,time_230_240,0.0,0,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.9618,0.12409999999999854,-1.3127868369721294,0.23879131880864424,0.0005799065420560679,12.195599999999104,-1.2517247768892257,0.20630631497709376,0.0499299065420537,4.755799611111112,0.0,4.755799611111112,0.0,time_240_250,0.0,0,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
113.0022,4.402300000000004,-0.9873850059602949,-0.394323860022292,0.020685404679708502,285.2341499999998,-0.9927473991827247,-0.39131272071171264,1.1563128536152645,0.8653284305555557,0.6333723888888891,1.5250731944444442,1.1639508055555554,energy_0_10,0.5,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
119.4196,1.3641000000000076,-1.121814587064594,0.4178844738030501,0.001321928934010148,109.1330999999991,-1.1225992461100738,0.41809204178557874,0.10575928934010109,12.156141861111111,9.64491461111111,18.689803194444444,15.489653472222223,energy_10_20,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
120.7217,1.3640999999999934,-1.0818661774168061,-0.12243489295729137,0.0013368583162217617,109.88190000000031,-1.0818986375966293,-0.12186403380344016,0.1069535934291584,9.844899750000002,5.400241138888891,16.511842027777778,11.378266111111111,energy_20_30,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.2797,0.6200000000000045,,,0.0005776397515528022,52.60100000000057,-0.9914347281844078,-0.4540904167897284,0.047768944099378916,15.467449166666666,9.467163055555556,21.467735277777784,0.0,energy_30_40,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.4037,0.12399999999999523,,,0.00012863070539418593,12.928400000000693,-0.478445588598551,0.16387591606729138,0.01029097510373462,21.423240555555555,0.0,21.423240555555555,0.0,energy_40_50,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.5277,0.18599999999999284,,,0.00019314641744547543,17.89089999999851,-0.17000572572318218,0.4170384259745738,0.014670612668743725,21.401024194444446,0.0,21.401024194444446,0.0,energy_50_60,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.7137,0.24800000000000466,,,0.00019334719334720068,22.10149999999885,-0.8948754850366512,0.3479082091016117,0.013903222453223188,21.378807833333333,0.0,21.378807833333333,0.0,energy_60_70,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
109.623,2.2942000000000036,-0.9371304226247936,-0.4400869159064939,0.02904050632911397,114.72419999999966,-0.9470863038108073,-0.434206615636662,1.452205063291135,0.38894744444444446,0.3333884444444445,0.6389715555555556,0.5000654444444446,time_0_10,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
120.9697,0.3719999999999999,-0.9274749291064177,-0.13987013977611948,0.0010367892976588704,31.25669999999991,-0.9012275253020583,-0.14877886377720206,0.08294682274247689,6.644753472222222,0.0,6.644753472222222,0.0,time_100_110,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
116.3194,2.914200000000008,-1.125490999260252,-0.19168273305648925,0.009539130434782644,205.40639999999985,-1.127489969763381,-0.19206921463916507,0.6725892976588621,1.4000379444444442,1.011140333333333,2.1972696944444436,0.5444518333333324,time_10_20,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.1557,0.3100000000000023,-0.9151575485732342,,0.0008294314381270583,26.302299999999377,-0.9552025249490672,-0.038471729603976976,0.0663575250836095,6.644787916666666,0.0,6.644787916666666,0.0,time_110_120,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.2797,0.18600000000000705,-0.18620142832653563,-0.16741152983401728,0.00020735785953176458,17.133600000001024,-0.09446797424326903,-0.18123045561513165,0.014075919732438883,6.644768972222222,0.0,6.644768972222222,0.0,time_120_130,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.2797,0.06200000000001182,,,0.00020735785953181213,7.965799999999945,5.159741791725757,-2.3638098325169175,0.0115602006688971,6.644756916666666,0.0,6.644756916666666,0.0,time_130_140,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.3417,0.06199999999999761,,,0.00020735785953176458,7.967399999999543,-1.7199569995370276,0.23292764605798022,0.011563545150503132,6.644781027777778,0.0,6.644781027777778,0.0,time_140_150,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.4657,0.12399999999999523,-1.7870483398898886,0.13032208482765126,0.00020735785953176458,11.42489999999998,-1.6049145660849544,0.14405071767161343,0.01658963210701948,6.644793083333333,0.0,6.644793083333333,0.0,time_160_170,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.4657,0.06199999999999761,,,0.0,6.465400000000955,14.947860769390847,2.4251034767508384,0.005034448160531428,6.644762083333333,0.0,6.644762083333333,0.0,time_170_180,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.4657,0.06199999999999761,,,0.00020735785953176458,7.970400000000154,-1.8164831776468484,-0.05370260674989308,0.016589297658867394,6.644777583333333,0.0,6.644777583333333,0.0,time_180_190,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.5277,0.06199999999999761,,,0.00020735785953176458,7.971999999999753,-0.8080831913003315,0.9445769405938634,0.014069230769232902,6.644743138888888,0.0,6.644743138888888,0.0,time_190_200,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.5897,0.12399999999999523,,,0.0,10.672999999998865,8.63921149980252,0.6271895759272571,0.0,6.64478275,0.0,6.64478275,0.0,time_200_210,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.6517,0.12400000000000944,4.672120097758696,-0.21779723764799677,0.0004147157190635767,12.934499999999389,3.744595679329011,-0.21166434414503477,0.03317892976588687,6.6447706944444445,0.0,6.6447706944444445,0.0,time_210_220,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.7137,0.12400000000000944,,,0.00020735785953176458,12.181799999998475,-0.18809374080096486,0.061114145126800745,0.019110033444818222,6.644753472222222,0.0,6.644753472222222,0.0,time_220_230,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.8377,0.12399999999999523,,,0.00041471571906352917,12.939099999999598,-0.8686625253185465,0.36201958047314525,0.02560167224080723,6.6447551944444445,0.0,6.6447551944444445,0.0,time_230_240,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
121.9618,0.12409999999999854,-1.3127868369721294,0.23879131880864424,0.0005799065420560679,12.195599999999104,-1.2517247768892257,0.20630631497709376,0.0499299065420537,4.755799611111112,0.0,4.755799611111112,0.0,time_240_250,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
118.1795,0.24800000000000466,-0.29542142706126207,-0.05729306774724567,0.0006220735785953413,21.305200000000696,-0.3121027737807509,,0.047321404682276066,6.644786194444444,0.0,6.644786194444444,0.0,time_30_40,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
118.4275,0.30999999999998806,-0.849436579078382,0.18887464203714044,0.0006220735785952938,27.000299999999697,-0.8480250167510417,0.16343267347049062,0.049768227424754265,6.644772416666667,0.0,6.644772416666667,0.0,time_40_50,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
118.8616,0.49609999999999843,-1.1764620778104844,0.14403074676710395,0.0014518394648829458,41.160399999998845,-1.186175721973268,0.14760807037194792,0.11369565217391572,6.644751749999999,0.0,6.644751749999999,0.0,time_50_60,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
119.4196,0.5580000000000069,-1.1550595648164685,0.030762938677766378,0.0018662207357859764,45.3828999999987,-1.1512331729755214,0.03083791451707841,0.15178227424748728,6.155866083333333,5.666958027777778,6.644774138888889,0.0,time_60_70,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
119.9156,0.5579999999999927,-1.0891347106496418,-0.09500499410838206,0.0016588628762541642,44.641999999999825,-1.0899226052691793,-0.08831820314136397,0.13271505016722507,6.644727638888888,0.0,6.644727638888888,0.0,time_70_80,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
120.2876,0.4339999999999975,-0.9683747449154176,-0.04826028674791696,0.001244147157190635,35.464099999999235,-0.9564468252388254,-0.06500004365279731,0.09454849498327905,6.644748305555556,0.0,6.644748305555556,0.0,time_80_90,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
120.6597,0.49609999999999843,-0.9255668412920879,-0.08787512143603894,0.0012444816053511813,40.4343000000008,-0.9242543955066593,-0.08555162169712059,0.10454849498327833,6.6447551944444445,0.0,6.6447551944444445,0.0,time_90_100,0.0,1,01 0593-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.7359
116.1334,11.594799999999992,-0.6528950469103978,-0.5755531670837717,0.01202780082987551,581.8280000000004,-0.653569660988552,-0.5749546886531428,0.6035560165975108,1.2918268333333331,1.2362643888888887,2.5280671111111115,2.500284166666667,energy_0_10,0.0,0,02 0746-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.6908
119.1096,1.3020999999999958,-1.0325600449297,0.46769292845206895,0.0010974336283185826,94.09660000000076,-1.030476844533876,0.46764120612809934,0.07812389380530871,12.368227777777777,10.326309083333333,19.291306888888887,16.60763833333333,energy_10_20,0.0,0,02 0746-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.6908
119.9776,0.9299999999999926,-1.1206542537452702,-0.16925467430642713,0.0012438271604938232,65.10810000000129,-1.1115511633635229,-0.1782243682726529,0.08707870370370321,6.961979722222222,1.3224089444444447,12.601550499999998,0.0,energy_20_30,0.0,0,02 0746-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.6908
121.3417,0.6200000000000045,,,0.0006138613861386215,54.954099999999016,-0.9394205994991851,-0.4267153002504785,0.05052640264026401,14.521988972222221,7.579783666666667,21.464194277777775,0.0,energy_30_40,0.0,0,02 0746-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.6908
121.4037,0.12399999999999523,,,0.00013686534216335013,12.797699999999168,-0.8605593128870539,-0.12190379844447435,0.009971081677703362,21.393283999999998,0.0,21.393283999999998,0.0,energy_40_50,0.0,0,02 0746-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.6908
121.7137,0.24800000000000466,,,0.0002740331491712759,23.342899999999645,-0.7564714589484214,0.0705028904961542,0.023294806629834176,21.36973280555555,0.0,21.36973280555555,0.0,energy_60_70,0.0,0,02 0746-271Ah - toXY.xlsx,26.016000000000002,96.0,271,0.6908
